POLICY_NUM,FREE_LOOKS,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00478322,N,Adjustable CompLife,016941    ,028  ,101,55,846,MD
00478323,N,Joint/Survivorship CompLife,094915    ,028  ,170,124,846,PA
00478324,N,Adjustable CompLife,012995    ,028  ,113,21,846,MD
00478325,N,Adjustable CompLife,073748    ,028  ,243,105,846,VA
00478326,N,Level Term 10,073748    ,028  ,243,105,846,VA
00478327,N,Adjustable CompLife,073748    ,028  ,243,82,846,VA
00478328,N,Adjustable CompLife,073748    ,028  ,243,24,846,VA
00478329,N,Adjustable CompLife,073748    ,028  ,243,7,846,VA
00478330,N,Adjustable CompLife,095610    ,028  ,165,58,845,MD
00478331,N,Level Term 20,030770    ,028  ,649,157,845,MD
00478332,N,90 Life,005951    ,028  ,131,59,845,MD
00478333,N,Adjustable CompLife,073748    ,028  ,243,79,845,MD
00478334,N,Level Term 20,001795    ,028  ,145,131,845,MD
00478335,N,Adjustable CompLife,000005    ,028  ,#VALUE!,18,796,PA
00478336,N,Estate CompLife,001325    ,028  ,147,13,844,MD
00478337,N,Extended Term,001795    ,028  ,113,22,812,MD
00478338,N,Adjustable CompLife,017960    ,028  ,101,33,844,PA
00478339,N,Adjustable CompLife,086622    ,028  ,208,120,844,MD
00478340,N,Adjustable CompLife,062676    ,028  ,326,85,844,MD
00478341,N,90 Life,095610    ,028  ,157,83,836,PA
00478342,N,Adjustable CompLife,099992    ,028  ,#VALUE!,102,844,MD
00478343,N,Level Term 20,095933    ,028  ,114,91,795,MD
00478344,N,Term 80,053986    ,028  ,258,20,708,VA
00478345,N,90 Life,099992    ,028  ,#VALUE!,98,831,PA
00478346,N,Adjustable CompLife,094915    ,028  ,170,69,843,PA
00478347,N,Level Term 20,099992    ,028  ,#VALUE!,149,843,MD
00478348,N,Adjustable CompLife,099992    ,028  ,#VALUE!,119,843,MD
00478349,N,Adjustable CompLife,099992    ,028  ,#VALUE!,119,843,NY
00478350,N,Adjustable CompLife,005951    ,028  ,131,52,843,FL
00478351,N,Level Term 20,094915    ,028  ,116,78,788,PA
00478352,N,90 Life,094915    ,028  ,170,81,843,PA
00478353,N,90 Life,094915    ,028  ,165,49,838,PA
00478354,N,Adjustable CompLife,073748    ,028  ,243,22,843,MD
00478355,N,Level Term 20,077259    ,028  ,222,147,842,TX
00478356,N,Adjustable CompLife,005951    ,028  ,131,54,842,VA
00478357,N,Level Term 20,047532    ,028  ,449,116,842,MD
00478358,N,Adjustable CompLife,016941    ,028  ,101,61,842,MD
00478359,N,Adjustable CompLife,095933    ,028  ,163,77,841,CA
00478360,N,Single Premium Life,095610    ,028  ,158,85,834,PA
00478361,N,Level Term 10,089855    ,028  ,179,90,826,PA
00478362,N,Level Term 20,037772    ,028  ,546,165,841,PA
00478363,N,Adjustable CompLife,037772    ,028  ,546,45,841,PA
00478364,N,Level Term 20,065425    ,028  ,302,137,841,MD
00478365,N,Adjustable CompLife,065425    ,028  ,302,102,841,MD
00478366,N,Level Term 20,089855    ,028  ,146,84,793,NC
00478367,N,Adjustable CompLife,030770    ,028  ,649,96,841,MD
00478368,N,Adjustable CompLife,077259    ,028  ,222,10,840,MD
00478369,N,Adjustable CompLife,077259    ,028  ,222,51,840,MD
00478370,N,Adjustable CompLife,086622    ,028  ,208,117,840,NM
00478371,N,Level Term 10,030770    ,028  ,649,98,840,TX
00478372,N,Adjustable CompLife,005951    ,028  ,131,45,840,MD
00478373,N,Level Term 10,000006    ,028  ,#VALUE!,97,840,PA
00478374,N,Adjustable CompLife,077259    ,028  ,222,94,840,PA
00478375,N,Adjustable CompLife,030771    ,028  ,605,47,796,MD
00478376,N,10 Pay Life,017994    ,028  ,101,1,840,DE
00478377,N,Adjustable CompLife,090918    ,028  ,188,85,840,MD
00478378,N,90 Life,035476    ,028  ,563,103,829,MD
00478379,N,Level Term 20,002560    ,028  ,141,132,839,MD
00478380,N,Level Term 20,095933    ,028  ,153,144,829,MD
00478381,N,Adjustable CompLife,094915    ,028  ,170,64,839,PA
00478382,N,Extended Term,095610    ,028  ,148,32,822,PA
00478383,N,Level Term 10,037772    ,028  ,540,117,833,PA
00478384,N,Adjustable CompLife,037772    ,028  ,546,53,839,PA
00478385,N,Adjustable CompLife,089855    ,028  ,195,100,839,MD
00478386,N,90 Life,095610    ,028  ,115,59,789,PA
00478387,N,Adjustable CompLife,073748    ,028  ,243,93,839,MD
00478388,N,Adjustable CompLife,073748    ,028  ,243,55,839,MD
00478389,N,Level Term 10,073748    ,028  ,200,12,795,MD
00478390,N,Adjustable CompLife,073748    ,028  ,243,43,839,MD
00478391,N,Level Term 10,002555    ,028  ,141,81,838,MD
00478392,N,Adjustable CompLife,002555    ,028  ,141,2,838,MD
00478393,N,Level Term 20,031013    ,028  ,644,138,838,MD
00478394,N,Level Term 20,020624    ,028  ,72,124,818,MD
00478395,N,Level Term 20,020624    ,028  ,36,87,782,MD
00478396,N,Level Term 20,020624    ,028  ,72,94,818,MD
00478397,N,Adjustable CompLife,099992    ,028  ,#VALUE!,114,838,MD
00478398,N,90 Life,099992    ,028  ,#VALUE!,15,838,MD
00478399,N,Adjustable CompLife,0B0441    ,028  ,38,58,793,PA
00478400,N,Level Term 10,095933    ,028  ,117,98,791,MD
00478401,N,Adjustable CompLife,091202    ,028  ,187,110,837,MD
